Iteration 1, Epoch 1, Loss: 122.15767992908506
Iteration 1, Epoch 2, Loss: 122.15767992908506
Iteration 1, Epoch 3, Loss: 122.15767992908508
Iteration 1, Epoch 4, Loss: 122.15767992908509
Iteration 1, Epoch 5, Loss: 122.15767992908506
Iteration 1, Epoch 6, Loss: 122.15767992908508
Iteration 1, Epoch 7, Loss: 122.15767992908508
Iteration 1, Epoch 8, Loss: 122.1576799290851
Iteration 1, Epoch 9, Loss: 122.15767992908508
Iteration 1, Epoch 10, Loss: 122.15767992908509
Iteration 1, Epoch 11, Loss: 122.15767992908506
Iteration 2, Epoch 1, Loss: 140.94259710262244
Iteration 2, Epoch 2, Loss: 140.94259710262241
Iteration 2, Epoch 3, Loss: 140.94259710262241
Iteration 2, Epoch 4, Loss: 140.94259710262244
Iteration 2, Epoch 5, Loss: 140.94259710262241
Iteration 2, Epoch 6, Loss: 140.94259710262244
Iteration 2, Epoch 7, Loss: 140.94259710262241
Iteration 2, Epoch 8, Loss: 140.94259710262241
Iteration 2, Epoch 9, Loss: 140.94259710262244
Iteration 2, Epoch 10, Loss: 140.94259710262241
Iteration 2, Epoch 11, Loss: 140.94259710262244
Iteration 2, Epoch 12, Loss: 140.94259710262244
Iteration 3, Epoch 1, Loss: 119.87388993202518
Iteration 3, Epoch 2, Loss: 119.87388993202518
Iteration 3, Epoch 3, Loss: 119.87388993202515
Iteration 3, Epoch 4, Loss: 119.87388993202518
Iteration 3, Epoch 5, Loss: 119.87388993202518
Iteration 3, Epoch 6, Loss: 119.87388993202518
Iteration 3, Epoch 7, Loss: 119.87388993202518
Iteration 3, Epoch 8, Loss: 119.87388993202518
Iteration 3, Epoch 9, Loss: 119.87388993202518
Iteration 3, Epoch 10, Loss: 119.87388993202518
Iteration 3, Epoch 11, Loss: 119.87388993202518
Iteration 3, Epoch 12, Loss: 119.87388993202518
Iteration 3, Epoch 13, Loss: 119.87388993202518
Iteration 4, Epoch 1, Loss: 109.47207354899696
Iteration 4, Epoch 2, Loss: 109.47207354899695
Iteration 4, Epoch 3, Loss: 109.47207354899695
Iteration 4, Epoch 4, Loss: 109.47207354899695
Iteration 4, Epoch 5, Loss: 109.47207354899695
Iteration 4, Epoch 6, Loss: 109.47207354899695
Iteration 4, Epoch 7, Loss: 109.47207354899695
Iteration 4, Epoch 8, Loss: 109.47207354899695
Iteration 4, Epoch 9, Loss: 109.47207354899695
Iteration 4, Epoch 10, Loss: 109.47207354899695
Iteration 4, Epoch 11, Loss: 109.47207354899695
Iteration 4, Epoch 12, Loss: 109.47207354899695
Iteration 5, Epoch 1, Loss: 145.55391155402154
Iteration 5, Epoch 2, Loss: 145.55391155402157
Iteration 5, Epoch 3, Loss: 145.55391155402157
Iteration 5, Epoch 4, Loss: 145.55391155402157
Iteration 5, Epoch 5, Loss: 145.55391155402157
Iteration 5, Epoch 6, Loss: 145.55391155402154
Iteration 5, Epoch 7, Loss: 145.55391155402154
Iteration 5, Epoch 8, Loss: 145.55391155402157
Iteration 5, Epoch 9, Loss: 145.55391155402157
Iteration 5, Epoch 10, Loss: 145.55391155402154
Iteration 5, Epoch 11, Loss: 145.55391155402154
Iteration 6, Epoch 1, Loss: 130.76837136330047
Iteration 6, Epoch 2, Loss: 130.7683713633005
Iteration 6, Epoch 3, Loss: 130.76837136330047
Iteration 6, Epoch 4, Loss: 130.76837136330047
Iteration 6, Epoch 5, Loss: 130.7683713633005
Iteration 6, Epoch 6, Loss: 130.7683713633005
Iteration 6, Epoch 7, Loss: 130.7683713633005
Iteration 6, Epoch 8, Loss: 130.7683713633005
Iteration 6, Epoch 9, Loss: 130.76837136330047
Iteration 6, Epoch 10, Loss: 130.7683713633005
Iteration 6, Epoch 11, Loss: 130.7683713633005
Iteration 7, Epoch 1, Loss: 135.29543964350427
Iteration 7, Epoch 2, Loss: 135.29543964350427
Iteration 7, Epoch 3, Loss: 135.29543964350427
Iteration 7, Epoch 4, Loss: 135.29543964350427
Iteration 7, Epoch 5, Loss: 135.29543964350427
Iteration 7, Epoch 6, Loss: 135.29543964350427
Iteration 7, Epoch 7, Loss: 135.29543964350427
Iteration 7, Epoch 8, Loss: 135.29543964350427
Iteration 7, Epoch 9, Loss: 135.29543964350427
Iteration 7, Epoch 10, Loss: 135.29543964350427
Iteration 7, Epoch 11, Loss: 135.29543964350427
Iteration 8, Epoch 1, Loss: 124.69761012906923
Iteration 8, Epoch 2, Loss: 124.69761012906923
Iteration 8, Epoch 3, Loss: 124.69761012906923
Iteration 8, Epoch 4, Loss: 124.69761012906923
Iteration 8, Epoch 5, Loss: 124.69761012906923
Iteration 8, Epoch 6, Loss: 124.69761012906923
Iteration 8, Epoch 7, Loss: 124.6976101290692
Iteration 8, Epoch 8, Loss: 124.69761012906923
Iteration 8, Epoch 9, Loss: 124.69761012906923
Iteration 8, Epoch 10, Loss: 124.69761012906923
Iteration 8, Epoch 11, Loss: 124.69761012906923
Iteration 8, Epoch 12, Loss: 124.69761012906923
Iteration 8, Epoch 13, Loss: 124.69761012906923
Iteration 8, Epoch 14, Loss: 124.69761012906923
Iteration 8, Epoch 15, Loss: 124.69761012906923
Iteration 8, Epoch 16, Loss: 124.69761012906923
Iteration 8, Epoch 17, Loss: 124.69761012906923
Iteration 9, Epoch 1, Loss: 126.58359255226276
Iteration 9, Epoch 2, Loss: 126.58359255226276
Iteration 9, Epoch 3, Loss: 126.58359255226276
Iteration 9, Epoch 4, Loss: 126.58359255226276
Iteration 9, Epoch 5, Loss: 126.58359255226276
Iteration 9, Epoch 6, Loss: 126.58359255226276
Iteration 9, Epoch 7, Loss: 126.58359255226276
Iteration 9, Epoch 8, Loss: 126.58359255226274
Iteration 9, Epoch 9, Loss: 126.58359255226276
Iteration 9, Epoch 10, Loss: 126.58359255226276
Iteration 9, Epoch 11, Loss: 126.58359255226276
Iteration 9, Epoch 12, Loss: 126.58359255226276
Iteration 9, Epoch 13, Loss: 126.58359255226276
Iteration 9, Epoch 14, Loss: 126.58359255226276
Iteration 9, Epoch 15, Loss: 126.58359255226276
Iteration 9, Epoch 16, Loss: 126.58359255226276
Iteration 9, Epoch 17, Loss: 126.58359255226276
Iteration 9, Epoch 18, Loss: 126.58359255226276
Iteration 10, Epoch 1, Loss: 155.9176700289849
Iteration 10, Epoch 2, Loss: 155.9176700289849
Iteration 10, Epoch 3, Loss: 155.9176700289849
Iteration 10, Epoch 4, Loss: 155.9176700289849
Iteration 10, Epoch 5, Loss: 155.9176700289849
Iteration 10, Epoch 6, Loss: 155.9176700289849
Iteration 10, Epoch 7, Loss: 155.9176700289849
Iteration 10, Epoch 8, Loss: 155.9176700289849
Iteration 10, Epoch 9, Loss: 155.91767002898493
Iteration 10, Epoch 10, Loss: 155.9176700289849
Iteration 10, Epoch 11, Loss: 155.91767002898493
Iteration 11, Epoch 1, Loss: 164.23773569315506
Iteration 11, Epoch 2, Loss: 164.23773569315503
Iteration 11, Epoch 3, Loss: 164.23773569315503
Iteration 11, Epoch 4, Loss: 164.23773569315503
Iteration 11, Epoch 5, Loss: 164.23773569315503
Iteration 11, Epoch 6, Loss: 164.237735693155
Iteration 11, Epoch 7, Loss: 164.23773569315506
Iteration 11, Epoch 8, Loss: 164.23773569315503
Iteration 11, Epoch 9, Loss: 164.23773569315503
Iteration 11, Epoch 10, Loss: 164.23773569315506
Iteration 11, Epoch 11, Loss: 164.23773569315503
Iteration 11, Epoch 12, Loss: 164.237735693155
Iteration 11, Epoch 13, Loss: 164.23773569315503
Iteration 11, Epoch 14, Loss: 164.23773569315506
Iteration 11, Epoch 15, Loss: 164.23773569315503
Iteration 11, Epoch 16, Loss: 164.23773569315503
Iteration 12, Epoch 1, Loss: 162.6047202379247
Iteration 12, Epoch 2, Loss: 162.6047202379247
Iteration 12, Epoch 3, Loss: 162.60472023792468
Iteration 12, Epoch 4, Loss: 162.60472023792468
Iteration 12, Epoch 5, Loss: 162.6047202379247
Iteration 12, Epoch 6, Loss: 162.60472023792465
Iteration 12, Epoch 7, Loss: 162.60472023792468
Iteration 12, Epoch 8, Loss: 162.6047202379247
Iteration 12, Epoch 9, Loss: 162.6047202379247
Iteration 12, Epoch 10, Loss: 162.60472023792468
Iteration 12, Epoch 11, Loss: 162.60472023792465
Iteration 12, Epoch 12, Loss: 162.60472023792468
Iteration 12, Epoch 13, Loss: 162.60472023792468
Iteration 12, Epoch 14, Loss: 162.60472023792468
Iteration 12, Epoch 15, Loss: 162.6047202379247
Iteration 12, Epoch 16, Loss: 162.6047202379247
Iteration 13, Epoch 1, Loss: 154.57021677619915
Iteration 13, Epoch 2, Loss: 154.57021677619912
Iteration 13, Epoch 3, Loss: 154.57021677619915
Iteration 13, Epoch 4, Loss: 154.57021677619912
Iteration 13, Epoch 5, Loss: 154.57021677619915
Iteration 13, Epoch 6, Loss: 154.57021677619915
Iteration 13, Epoch 7, Loss: 154.57021677619912
Iteration 13, Epoch 8, Loss: 154.57021677619912
Iteration 13, Epoch 9, Loss: 154.57021677619915
Iteration 13, Epoch 10, Loss: 154.57021677619912
Iteration 13, Epoch 11, Loss: 154.57021677619915
Iteration 13, Epoch 12, Loss: 154.57021677619915
Iteration 14, Epoch 1, Loss: 117.40043447556273
Iteration 14, Epoch 2, Loss: 117.40043447556272
Iteration 14, Epoch 3, Loss: 117.40043447556273
Iteration 14, Epoch 4, Loss: 117.40043447556272
Iteration 14, Epoch 5, Loss: 117.40043447556272
Iteration 14, Epoch 6, Loss: 117.40043447556273
Iteration 14, Epoch 7, Loss: 117.40043447556272
Iteration 14, Epoch 8, Loss: 117.40043447556272
Iteration 14, Epoch 9, Loss: 117.40043447556272
Iteration 14, Epoch 10, Loss: 117.40043447556272
